,Sample_ID,Run_ID,Release_version,Sex,Body_site
2081,SRS483119,SRR996012,2.0,male ,retroauricular crease 
2090,SRS483124,SRR995943,2.0,male ,retroauricular crease 
2091,SRS483124,SRR996017,2.0,male ,retroauricular crease 
2100,SRS483129,SRR995948,2.0,male ,retroauricular crease 
2101,SRS483129,SRR996022,2.0,male ,retroauricular crease 
2108,SRS483133,SRR995952,2.0,male ,retroauricular crease 
2109,SRS483133,SRR996026,2.0,male ,retroauricular crease 
2112,SRS483135,SRR995954,2.0,male ,retroauricular crease 
2113,SRS483135,SRR996028,2.0,male ,retroauricular crease 
2120,SRS483139,SRR995958,2.0,male ,retroauricular crease 
2121,SRS483139,SRR996032,2.0,male ,retroauricular crease 
2128,SRS483143,SRR995962,2.0,male ,retroauricular crease 
2129,SRS483143,SRR996036,2.0,male ,retroauricular crease 
2136,SRS483147,SRR995966,2.0,male ,retroauricular crease 
2137,SRS483147,SRR996040,2.0,male ,retroauricular crease 
2184,SRS483171,SRR996064,2.0,male ,retroauricular crease 
2185,SRS483171,SRR996132,2.0,male ,retroauricular crease 
2192,SRS483175,SRR996068,2.0,male ,retroauricular crease 
2193,SRS483175,SRR996136,2.0,male ,retroauricular crease 
2200,SRS483179,SRR996072,2.0,male ,retroauricular crease 
2201,SRS483179,SRR996140,2.0,male ,retroauricular crease 
2204,SRS483181,SRR996074,2.0,male ,retroauricular crease 
2205,SRS483181,SRR996142,2.0,male ,retroauricular crease 
2210,SRS483184,SRR996077,2.0,male ,retroauricular crease 
2211,SRS483184,SRR996145,2.0,male ,retroauricular crease 
2218,SRS483188,SRR996081,2.0,male ,retroauricular crease 
2219,SRS483188,SRR996149,2.0,male ,retroauricular crease 
2226,SRS483192,SRR996085,2.0,male ,retroauricular crease 
2227,SRS483192,SRR996153,2.0,male ,retroauricular crease 
2248,SRS483203,SRR996095,2.0,male ,retroauricular crease 
2249,SRS483203,SRR996163,2.0,male ,retroauricular crease 
2256,SRS483207,SRR996100,2.0,male ,retroauricular crease 
2257,SRS483207,SRR996168,2.0,male ,retroauricular crease 
2276,SRS483217,SRR996110,2.0,male ,retroauricular crease 
2277,SRS483217,SRR996178,2.0,male ,retroauricular crease 
2370,SRS483264,SRR996225,2.0,male ,retroauricular crease 
2371,SRS483264,SRR996277,2.0,male ,retroauricular crease 
2388,SRS483273,SRR996286,2.0,male ,retroauricular crease 
2389,SRS483273,SRR996295,2.0,male ,retroauricular crease 
2424,SRS483291,SRR996313,2.0,male ,retroauricular crease 
2425,SRS483291,SRR996385,2.0,male ,retroauricular crease 
2434,SRS483296,SRR996318,2.0,male ,retroauricular crease 
2435,SRS483296,SRR996390,2.0,male ,retroauricular crease 
2440,SRS483299,SRR996320,2.0,male ,retroauricular crease 
2441,SRS483299,SRR996392,2.0,male ,retroauricular crease 
2448,SRS483303,SRR996324,2.0,male ,retroauricular crease 
2449,SRS483303,SRR996396,2.0,male ,retroauricular crease 
2458,SRS483308,SRR996330,2.0,male ,retroauricular crease 
2459,SRS483308,SRR996402,2.0,male ,retroauricular crease 
2472,SRS483315,SRR996337,2.0,male ,retroauricular crease 
2473,SRS483315,SRR996409,2.0,male ,retroauricular crease 
2482,SRS483320,SRR996342,2.0,male ,retroauricular crease 
2483,SRS483320,SRR996414,2.0,male ,retroauricular crease 
2492,SRS483325,SRR996347,2.0,male ,retroauricular crease 
2493,SRS483325,SRR996419,2.0,male ,retroauricular crease 
2562,SRS483372,SRR996481,2.0,male ,retroauricular crease 
2563,SRS483372,SRR996516,2.0,male ,retroauricular crease 
2564,SRS483372,SRR996551,2.0,male ,retroauricular crease 
2565,SRS483372,SRR996586,2.0,male ,retroauricular crease 
2582,SRS483377,SRR996487,2.0,male ,retroauricular crease 
2583,SRS483377,SRR996522,2.0,male ,retroauricular crease 
2584,SRS483377,SRR996557,2.0,male ,retroauricular crease 
2585,SRS483377,SRR996592,2.0,male ,retroauricular crease 
2598,SRS483381,SRR996491,2.0,male ,retroauricular crease 
2599,SRS483381,SRR996526,2.0,male ,retroauricular crease 
2600,SRS483381,SRR996561,2.0,male ,retroauricular crease 
2601,SRS483381,SRR996596,2.0,male ,retroauricular crease 
2614,SRS483385,SRR996496,2.0,male ,retroauricular crease 
2615,SRS483385,SRR996531,2.0,male ,retroauricular crease 
2616,SRS483385,SRR996566,2.0,male ,retroauricular crease 
2617,SRS483385,SRR996601,2.0,male ,retroauricular crease 
2638,SRS483391,SRR996501,2.0,male ,retroauricular crease 
2639,SRS483391,SRR996536,2.0,male ,retroauricular crease 
2640,SRS483391,SRR996571,2.0,male ,retroauricular crease 
2641,SRS483391,SRR996606,2.0,male ,retroauricular crease 
2654,SRS483395,SRR996506,2.0,male ,retroauricular crease 
