,Sample_ID,Run_ID,Release_version,Sex,Body_site
2304,SRS483231,SRR996192,2.0,male ,volar forearm 
2305,SRS483231,SRR996244,2.0,male ,volar forearm 
2306,SRS483232,SRR996193,2.0,male ,volar forearm 
2307,SRS483232,SRR996245,2.0,male ,volar forearm 
2308,SRS483233,SRR996194,2.0,male ,volar forearm 
2309,SRS483233,SRR996246,2.0,male ,volar forearm 
2310,SRS483234,SRR996195,2.0,male ,volar forearm 
2311,SRS483234,SRR996247,2.0,male ,volar forearm 
2312,SRS483235,SRR996196,2.0,male ,volar forearm 
2313,SRS483235,SRR996248,2.0,male ,volar forearm 
2314,SRS483236,SRR996197,2.0,male ,volar forearm 
2315,SRS483236,SRR996249,2.0,male ,volar forearm 
2366,SRS483262,SRR996223,2.0,male ,volar forearm 
2367,SRS483262,SRR996275,2.0,male ,volar forearm 
2392,SRS483275,SRR996287,2.0,male ,volar forearm 
2393,SRS483275,SRR996296,2.0,male ,volar forearm 
2410,SRS483284,SRR996306,2.0,male ,volar forearm 
2411,SRS483284,SRR996378,2.0,male ,volar forearm 
2412,SRS483285,SRR996307,2.0,male ,volar forearm 
2413,SRS483285,SRR996379,2.0,male ,volar forearm 
2432,SRS483295,SRR996317,2.0,male ,volar forearm 
2433,SRS483295,SRR996389,2.0,male ,volar forearm 
2436,SRS483297,SRR996319,2.0,male ,volar forearm 
2437,SRS483297,SRR996391,2.0,male ,volar forearm 
2444,SRS483301,SRR996323,2.0,male ,volar forearm 
2445,SRS483301,SRR996395,2.0,male ,volar forearm 
2460,SRS483309,SRR996331,2.0,male ,volar forearm 
2461,SRS483309,SRR996403,2.0,male ,volar forearm 
2470,SRS483314,SRR996336,2.0,male ,volar forearm 
2471,SRS483314,SRR996408,2.0,male ,volar forearm 
2480,SRS483319,SRR996341,2.0,male ,volar forearm 
2481,SRS483319,SRR996413,2.0,male ,volar forearm 
2490,SRS483324,SRR996346,2.0,male ,volar forearm 
2491,SRS483324,SRR996418,2.0,male ,volar forearm 
2530,SRS483344,SRR996366,2.0,male ,volar forearm 
2531,SRS483344,SRR996438,2.0,male ,volar forearm 
2536,SRS483347,SRR996369,2.0,male ,volar forearm 
2537,SRS483347,SRR996441,2.0,male ,volar forearm 
2542,SRS483350,SRR996372,2.0,male ,volar forearm 
2543,SRS483350,SRR996444,2.0,male ,volar forearm 
2554,SRS483370,SRR996480,2.0,male ,volar forearm 
2555,SRS483370,SRR996515,2.0,male ,volar forearm 
2556,SRS483370,SRR996550,2.0,male ,volar forearm 
2557,SRS483370,SRR996585,2.0,male ,volar forearm 
