,Sample ID,Run ID,Release version,Sample ID,Sex,Body site
203,SRS451619,SRR919940,2.0,,,
204,SRS451620,SRR919891,2.0,,,
205,SRS451620,SRR919941,2.0,,,
206,SRS451621,SRR919892,2.0,,,
207,SRS451621,SRR919942,2.0,,,
208,SRS451622,SRR919893,2.0,,,
209,SRS451622,SRR919943,2.0,,,
210,SRS451623,SRR919894,2.0,,,
211,SRS451623,SRR919944,2.0,,,
212,SRS451624,SRR919895,2.0,,,
213,SRS451624,SRR919945,2.0,,,
214,SRS451625,SRR919896,2.0,,,
215,SRS451625,SRR919946,2.0,,,
216,SRS451626,SRR919897,2.0,,,
217,SRS451626,SRR919947,2.0,,,
218,SRS451627,SRR919898,2.0,,,
219,SRS451627,SRR919948,2.0,,,
220,SRS451709,SRR920111,2.0,,,
221,SRS451709,SRR920158,2.0,,,
222,SRS451710,SRR920112,2.0,,,
223,SRS451710,SRR920159,2.0,,,
224,SRS451711,SRR920113,2.0,,,
225,SRS451711,SRR920160,2.0,,,
226,SRS451712,SRR920114,2.0,,,
227,SRS451712,SRR920161,2.0,,,
228,SRS451713,SRR920115,2.0,,,
229,SRS451713,SRR920162,2.0,,,
230,SRS451714,SRR920116,2.0,,,
231,SRS451714,SRR920163,2.0,,,
232,SRS451715,SRR920117,2.0,,,
233,SRS451715,SRR920164,2.0,,,
234,SRS451716,SRR920118,2.0,,,
235,SRS451716,SRR920165,2.0,,,
236,SRS451717,SRR920119,2.0,,,
237,SRS451717,SRR920166,2.0,,,
238,SRS451718,SRR920120,2.0,,,
239,SRS451718,SRR920167,2.0,,,
240,SRS451719,SRR920121,2.0,,,
241,SRS451719,SRR920168,2.0,,,
242,SRS451720,SRR920122,2.0,,,
243,SRS451720,SRR920169,2.0,,,
244,SRS451721,SRR920123,2.0,,,
245,SRS451721,SRR920170,2.0,,,
246,SRS451722,SRR920124,2.0,,,
247,SRS451722,SRR920171,2.0,,,
248,SRS451723,SRR920125,2.0,,,
249,SRS451723,SRR920172,2.0,,,
250,SRS451724,SRR920126,2.0,,,
251,SRS451724,SRR920173,2.0,,,
252,SRS451725,SRR920127,2.0,,,
253,SRS451725,SRR920174,2.0,,,
254,SRS451726,SRR920128,2.0,,,
255,SRS451726,SRR920175,2.0,,,
256,SRS451727,SRR920129,2.0,,,
257,SRS451727,SRR920176,2.0,,,
258,SRS451728,SRR920130,2.0,,,
259,SRS451728,SRR920177,2.0,,,
260,SRS451729,SRR920131,2.0,,,
261,SRS451729,SRR920178,2.0,,,
262,SRS451730,SRR920132,2.0,,,
263,SRS451730,SRR920179,2.0,,,
264,SRS451731,SRR920133,2.0,,,
265,SRS451731,SRR920180,2.0,,,
266,SRS451732,SRR920134,2.0,,,
267,SRS451732,SRR920181,2.0,,,
268,SRS451733,SRR920135,2.0,,,
269,SRS451733,SRR920182,2.0,,,
270,SRS451734,SRR920136,2.0,,,
271,SRS451734,SRR920183,2.0,,,
272,SRS451735,SRR920137,2.0,,,
273,SRS451735,SRR920184,2.0,,,
274,SRS451736,SRR920138,2.0,,,
275,SRS451736,SRR920185,2.0,,,
276,SRS451737,SRR920139,2.0,,,
277,SRS451737,SRR920186,2.0,,,
278,SRS451738,SRR920140,2.0,,,
279,SRS451738,SRR920187,2.0,,,
280,SRS451739,SRR920141,2.0,,,
281,SRS451739,SRR920188,2.0,,,
282,SRS451740,SRR920142,2.0,,,
